                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1392,                 4.1116,                 1.7024,                0.00323,                0.09848,                0.00483,                 0.0018,                  2.377,                 4.3344,                 1.7951,                      0,                      0,                      0
                      2,                 1.9838,                 4.0874,                 1.5672,                0.00327,                0.09848,                0.00489,                0.00169,                 2.3684,                 4.3328,                 1.7843,             8.1901e-06,             8.1901e-06,             8.1901e-06
                      3,                 1.9871,                 4.0279,                 1.5858,                0.00337,                0.09848,                0.00498,                0.00172,                 2.3429,                 4.3239,                 1.7638,              1.458e-05,              1.458e-05,              1.458e-05
                      4,                 2.1743,                  4.136,                 1.5978,                0.00345,                0.09848,                0.00512,                0.00181,                  2.311,                  4.309,                 1.7315,             1.9171e-05,             1.9171e-05,             1.9171e-05
                      5,                 2.0332,                 4.1048,                 1.4816,                0.00354,                0.09848,                 0.0053,                0.00155,                 2.2834,                 4.2962,                 1.7059,             2.1961e-05,             2.1961e-05,             2.1961e-05
                      6,                 2.1193,                 3.9765,                 1.6097,                0.00366,                0.09848,                0.00561,                0.00157,                 2.2583,                 4.2966,                 1.6889,             2.2952e-05,             2.2952e-05,             2.2952e-05
                      7,                 1.9634,                 4.1255,                 1.4037,                0.00377,                0.09848,                0.00553,                0.00158,                 2.2226,                 4.2862,                 1.6539,             2.2143e-05,             2.2143e-05,             2.2143e-05
                      8,                  1.998,                 3.9659,                 1.5869,                0.00318,                0.07765,                0.00427,                 0.0017,                  2.219,                 4.2817,                 1.6462,             1.9534e-05,             1.9534e-05,             1.9534e-05
                      9,                   2.02,                 4.0617,                 1.4433,                0.00377,                0.07993,                0.00484,                0.00187,                 2.2189,                 4.2721,                  1.635,             1.5126e-05,             1.5126e-05,             1.5126e-05
                     10,                 1.9288,                 4.0434,                 1.4003,                0.00389,                0.07993,                0.00468,                0.00164,                 2.1975,                 4.2639,                 1.6145,             8.9173e-06,             8.9173e-06,             8.9173e-06
