                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.196,                 4.1063,                 1.5466,                0.00375,                0.13393,                0.00553,                0.00256,                 2.2307,                 4.2629,                 1.7352,                      0,                      0,                      0
                      2,                 2.0666,                 4.1269,                 1.5018,                0.00372,                0.13393,                0.00561,                0.00237,                 2.2033,                 4.2566,                 1.7196,             8.1901e-06,             8.1901e-06,             8.1901e-06
                      3,                 2.1874,                 4.0747,                  1.635,                0.00363,                0.13393,                0.00647,                 0.0028,                 2.1596,                  4.251,                 1.6931,              1.458e-05,              1.458e-05,              1.458e-05
                      4,                 2.0048,                 4.1959,                 1.4171,                0.00363,                0.13393,                0.01007,                0.00371,                 2.1218,                 4.2321,                 1.6565,             1.9171e-05,             1.9171e-05,             1.9171e-05
                      5,                 2.1046,                 4.0629,                 1.5151,                0.00472,                0.15527,                0.01117,                0.00461,                 2.0648,                 4.2266,                 1.6268,             2.1961e-05,             2.1961e-05,             2.1961e-05
                      6,                 1.9355,                 4.0941,                 1.4063,                 0.0048,                0.15527,                0.01134,                0.00597,                 2.0299,                 4.2104,                 1.5917,             2.2952e-05,             2.2952e-05,             2.2952e-05
                      7,                 1.9963,                 3.9959,                 1.4952,                0.00495,                0.15527,                0.01339,                0.00732,                 1.9928,                 4.2057,                  1.555,             2.2143e-05,             2.2143e-05,             2.2143e-05
                      8,                  1.934,                 4.0692,                 1.4921,                 0.0058,                0.17313,                0.01633,                0.00952,                 1.9615,                 4.1833,                 1.5337,             1.9534e-05,             1.9534e-05,             1.9534e-05
                      9,                 1.8868,                 4.0993,                 1.3605,                0.00579,                0.17313,                0.01932,                0.01128,                 1.9251,                 4.1613,                 1.5121,             1.5126e-05,             1.5126e-05,             1.5126e-05
                     10,                 1.8973,                  4.001,                 1.3918,                0.00585,                0.17313,                0.02071,                0.01184,                 1.8717,                 4.1402,                 1.4858,             8.9173e-06,             8.9173e-06,             8.9173e-06
